appId,type,title,installs,minInstalls,maxInstalls,androidVersion,androidMaxVersion,developerEmail,privacyPolicy,available,genreId,categories,contentRating,adSupported,updated,url
"com.squareup.cash","FINANCE","Cash App","100,000,000+","100000000","108209504","7.0","VARY","support@squareup.com","https://cash.app/legal/us/en-us/privacy","true","FINANCE","[object Object]","Everyone","true","1725667649000","https://play.google.com/store/apps/details?id=com.squareup.cash&hl=en&gl=us"
""com.paypal.android.p2pmobile","FINANCE","PayPal - Pay, Send, Save","100,000,000+","100000000","373453210","6.0","VARY","app-feedback@paypal.com","https://www.paypal.com/webapps/mpp/ua/privacy-full","true","FINANCE","[object Object]","Everyone","false","1725036843000","https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile&hl=en&gl=us"
""com.google.android.apps.walletnfcrel","FINANCE","Google Wallet","1,000,000,000+","1000000000","1000492314","VARY","VARY","google-payments@google.com","https://policies.google.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725466467000","https://play.google.com/store/apps/details?id=com.google.android.apps.walletnfcrel&hl=en&gl=us"
""com.onedebit.chime","FINANCE","Chime – Mobile Banking","10,000,000+","10000000","26839241","8.0","VARY","support@chime.com","https://www.chime.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725905331000","https://play.google.com/store/apps/details?id=com.onedebit.chime&hl=en&gl=us"
""com.venmo","FINANCE","Venmo","50,000,000+","50000000","56597320","8.0","VARY","support+android@venmo.com","https://venmo.com/info/privacy-policy","true","FINANCE","[object Object]","Everyone","false","1724083371000","https://play.google.com/store/apps/details?id=com.venmo&hl=en&gl=us"
""com.zellepay.zelle","FINANCE","Zelle","10,000,000+","10000000","27948284","11","VARY","customerservice@zellepay.com","https://www.zellepay.com/just-time-notice","true","FINANCE","[object Object]","Everyone","false","1721767696000","https://play.google.com/store/apps/details?id=com.zellepay.zelle&hl=en&gl=us"
""com.konylabs.capitalone","FINANCE","Capital One Mobile","10,000,000+","10000000","43528813","10","VARY","webinfo@capitalone.com","https://www.capitalone.com/privacy/online-privacy-policy","true","FINANCE","[object Object]","Everyone","false","1725035456000","https://play.google.com/store/apps/details?id=com.konylabs.capitalone&hl=en&gl=us"
""de.empfohlen","FINANCE","testerup - earn money","5,000,000+","5000000","6387790","5.0","VARY","aestimium@gmail.com","https://www.testerup.com/privacy/","true","FINANCE","[object Object]","Everyone","false","1723048034000","https://play.google.com/store/apps/details?id=de.empfohlen&hl=en&gl=us"
""com.ton_keeper","FINANCE","Tonkeeper — TON Wallet","10,000,000+","10000000","32318158","6.0","VARY","contact@tonkeeper.com","http://tonkeeper.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725642450000","https://play.google.com/store/apps/details?id=com.ton_keeper&hl=en&gl=us"
""com.freecash.app2","FINANCE","Freecash: Earn Money & Rewards","5,000,000+","5000000","8249954","5.0","VARY","contact@freecash.com","https://freecash.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725450315000","https://play.google.com/store/apps/details?id=com.freecash.app2&hl=en&gl=us"
""com.chase.sig.android","FINANCE","Chase Mobile","50,000,000+","50000000","51770171","10","VARY","chasemobilesupport@emailonline.chase.com","https://www.chase.com/resources/consumer-privacy","true","FINANCE","[object Object]","Everyone","false","1724959102000","https://play.google.com/store/apps/details?id=com.chase.sig.android&hl=en&gl=us"
""com.phonevalley.progressive","FINANCE","Progressive","10,000,000+","10000000","18825923","8.0","VARY","App_Feedback@progressive.com","https://www.progressive.com/mobile-privacy/","true","FINANCE","[object Object]","Everyone","false","1724877020000","https://play.google.com/store/apps/details?id=com.phonevalley.progressive&hl=en&gl=us"
""com.creditkarma.mobile","FINANCE","Intuit Credit Karma","10,000,000+","10000000","48595919","9","VARY","AppSupport@creditkarma.com","http://www.creditkarma.com/about/privacy","true","FINANCE","[object Object]","Everyone","true","1725572012000","https://play.google.com/store/apps/details?id=com.creditkarma.mobile&hl=en&gl=us"
""com.onefinance.one","FINANCE","One — Mobile Banking","1,000,000+","1000000","2733533","7.0","VARY","help@onefinance.com","https://hello.one.app/e/privacy-notice","true","FINANCE","[object Object]","Everyone","false","1725663900000","https://play.google.com/store/apps/details?id=com.onefinance.one&hl=en&gl=us"
""com.infonow.bofa","FINANCE","Bank of America Mobile Banking","10,000,000+","10000000","48978129","8.0","VARY","mobileappstore@bofa.com","https://www.bankofamerica.com/privacy/overview.go","true","FINANCE","[object Object]","Everyone","false","1723646956000","https://play.google.com/store/apps/details?id=com.infonow.bofa&hl=en&gl=us"
""com.experian.android","FINANCE","Experian","10,000,000+","10000000","16257313","7.0","VARY","AppSupport@experian.com","https://usa.experian.com/login/#/publicPrivacyPolicy","true","FINANCE","[object Object]","Everyone","false","1725940893000","https://play.google.com/store/apps/details?id=com.experian.android&hl=en&gl=us"
""com.propel.ebenefits","FINANCE","Propel EBT (Providers)","10,000,000+","10000000","21961130","5.1","VARY","feedback@joinproviders.com","https://www.joinproviders.com/providers/en/privacy-policy/","true","FINANCE","[object Object]","Everyone","false","1725487347000","https://play.google.com/store/apps/details?id=com.propel.ebenefits&hl=en&gl=us"
""com.kikoff","FINANCE","Kikoff - Build Credit Quickly","1,000,000+","1000000","2424486","7.0","VARY","hello@kikoff.com","https://kikoff.com/privacy-policy.html","true","FINANCE","[object Object]","Everyone","false","1725580877000","https://play.google.com/store/apps/details?id=com.kikoff&hl=en&gl=us"
""com.truebill","FINANCE","Rocket Money - Bills & Budgets","5,000,000+","5000000","9213965","9","VARY","hello@rocketmoney.com","https://www.truebill.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725664523000","https://play.google.com/store/apps/details?id=com.truebill&hl=en&gl=us"
""finance.empower","FINANCE","Empower: Advance & Credit","1,000,000+","1000000","4064412","6.0","VARY","support@empower.me","https://empower.me/privacy","true","FINANCE","[object Object]","Everyone","false","1725574258000","https://play.google.com/store/apps/details?id=finance.empower&hl=en&gl=us"
""com.wf.wellsfargomobile","FINANCE","Wells Fargo Mobile","10,000,000+","10000000","42497111","10","VARY","Appstorefeedback@wellsfargo.com","https://www.wellsfargo.com/privacy-security/privacy/online","true","FINANCE","[object Object]","Everyone","true","1725381436000","https://play.google.com/store/apps/details?id=com.wf.wellsfargomobile&hl=en&gl=us"
""com.remitly.androidapp","FINANCE","Remitly: Send Money & Transfer","10,000,000+","10000000","17240910","8.0","VARY","service@remitly.com","https://www.remitly.com/home/policy","true","FINANCE","[object Object]","Everyone","false","1725658181000","https://play.google.com/store/apps/details?id=com.remitly.androidapp&hl=en&gl=us"
""com.dave","FINANCE","Dave: Fast Cash & Banking","10,000,000+","10000000","12464049","9","VARY","support@dave.com","https://www.dave.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725664049000","https://play.google.com/store/apps/details?id=com.dave&hl=en&gl=us"
""com.fidelity.android","FINANCE","Fidelity Investments","5,000,000+","5000000","7432365","9","VARY","ElectronicChannelSupport@fidelity.com","https://www.fidelity.com/privacy-policy","true","FINANCE","[object Object]","Everyone","false","1724935598000","https://play.google.com/store/apps/details?id=com.fidelity.android&hl=en&gl=us"
""com.hellobrigit.Brigit","FINANCE","Brigit: Borrow & Build Credit","5,000,000+","5000000","6178144","6.0","VARY","info@hellobrigit.com","https://hellobrigit.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725657231000","https://play.google.com/store/apps/details?id=com.hellobrigit.Brigit&hl=en&gl=us"
""com.citi.citimobile","FINANCE","Citi Mobile®","10,000,000+","10000000","15613656","10","VARY","Mobile.Metrics.US@citi.com","https://online.citi.com/US/JRS/portal/template.do?ID=PrivacyMobile","true","FINANCE","[object Object]","Everyone","false","1725568875000","https://play.google.com/store/apps/details?id=com.citi.citimobile&hl=en&gl=us"
""com.bitkeep.wallet","FINANCE","Bitget Wallet: Crypto and BTC","5,000,000+","5000000","9544484","6.0","VARY","support@bitkeep.com","https://bitkeep.com/resource/privacy.html","true","FINANCE","[object Object]","Everyone","false","1725539261000","https://play.google.com/store/apps/details?id=com.bitkeep.wallet&hl=en&gl=us"
""com.robinhood.android","FINANCE","Robinhood: Stocks & Crypto","10,000,000+","10000000","21886556","7.0","VARY","help@robinhood.com","https://robinhood.com/l/privacy","true","FINANCE","[object Object]","Everyone","false","1725910883000","https://play.google.com/store/apps/details?id=com.robinhood.android&hl=en&gl=us"
""com.statefarm.pocketagent","FINANCE","State Farm®","10,000,000+","10000000","12874475","8.0","VARY","sf-android-apps@statefarm.com","https://www.statefarm.com/customer-care/privacy-security/privacy","true","FINANCE","[object Object]","Everyone","false","1725469966000","https://play.google.com/store/apps/details?id=com.statefarm.pocketagent&hl=en&gl=us"
""com.geico.mobile","FINANCE","GEICO Mobile - Car Insurance","10,000,000+","10000000","20562978","8.0","VARY","mobileapphelp@geico.com","https://media.geico.com/legal/privacy_policy.htm","true","FINANCE","[object Object]","Everyone","false","1725370603000","https://play.google.com/store/apps/details?id=com.geico.mobile&hl=en&gl=us"
""com.moneylion","FINANCE","MoneyLion: Bank & Earn Rewards","5,000,000+","5000000","5969083","6.0","VARY","support@moneylion.com","https://www.moneylion.com/privacy-notice/","true","FINANCE","[object Object]","Everyone","false","1725013234000","https://play.google.com/store/apps/details?id=com.moneylion&hl=en&gl=us"
""com.westernunion.android.mtapp","FINANCE","Western Union Send Money Now","10,000,000+","10000000","17571237","8.0","VARY","customerservice@westernunion.com","https://www.westernunion.com/us/privacy-statement","true","FINANCE","[object Object]","Everyone","true","1725615276000","https://play.google.com/store/apps/details?id=com.westernunion.android.mtapp&hl=en&gl=us"
""com.activehours","FINANCE","EarnIn: Make Every Day Payday","5,000,000+","5000000","9122110","7.0","VARY","support@earnin.com","https://www.earnin.com/privacy","true","FINANCE","[object Object]","Everyone","false","1725919517000","https://play.google.com/store/apps/details?id=com.activehours&hl=en&gl=us"
""com.statefarm.dssm","FINANCE","Drive Safe & Save™","5,000,000+","5000000","8686526","9","VARY","home.sys-dss-support.622o08@statefarm.com","https://www.statefarm.com/customer-care/privacy-security/privacy","true","FINANCE","[object Object]","Everyone","false","1723482257000","https://play.google.com/store/apps/details?id=com.statefarm.dssm&hl=en&gl=us"
""com.meetalbert","FINANCE","Albert: Budgeting and Banking","5,000,000+","5000000","7606786","7.0","VARY","support@albert.com","https://albert.com/privacy/","true","FINANCE","[object Object]","Everyone","false","1725594672000","https://play.google.com/store/apps/details?id=com.meetalbert&hl=en&gl=us"
""com.creditonebank.mobile","FINANCE","Credit One Bank Mobile","5,000,000+","5000000","9914723","10","VARY","AppStoreDevAcct@creditone.com","https://www.creditonebank.com/legal/privacy","true","FINANCE","[object Object]","Everyone","false","1723831463000","https://play.google.com/store/apps/details?id=com.creditonebank.mobile&hl=en&gl=us"
""com.bybit.app","FINANCE","Bybit: Buy Bitcoin & Crypto","10,000,000+","10000000","27146059","6.0","VARY","IT@bybit.com","https://www.bybit.com/app/terms-service/privacyPolicy","true","FINANCE","[object Object]","Everyone","false","1725457608000","https://play.google.com/store/apps/details?id=com.bybit.app&hl=en&gl=us"
""com.klovercredit.android_app","FINANCE","Klover - Instant Cash Advance","1,000,000+","1000000","3061516","7.0","VARY","info@joinklover.com","https://www.joinklover.com/privacy-policy","true","FINANCE","[object Object]","Everyone","true","1725659827000","https://play.google.com/store/apps/details?id=com.klovercredit.android_app&hl=en&gl=us"
""com.discoverfinancial.mobile","FINANCE","Discover Mobile","10,000,000+","10000000","13492590","6.0","VARY","mobappqs@service.discovercard.com","https://www.discover.com/privacy-statement/","true","FINANCE","[object Object]","Everyone","false","1724330552000","https://play.google.com/store/apps/details?id=com.discoverfinancial.mobile&hl=en&gl=us"
""co.mona.android","FINANCE","Crypto.com - Buy Bitcoin, ETH","10,000,000+","10000000","39360821","8.0","VARY","contact@crypto.com","https://crypto.com/privacy/global/html","true","FINANCE","[object Object]","Everyone","false","1725702172000","https://play.google.com/store/apps/details?id=co.mona.android&hl=en&gl=us"
""com.sofi.mobile","FINANCE","SoFi - Banking & Investing","1,000,000+","1000000","3919570","8.0","VARY","mobilesupport@sofi.com","https://www.sofi.com/online-privacy-policy","true","FINANCE","[object Object]","Everyone","false","1725908369000","https://play.google.com/store/apps/details?id=com.sofi.mobile&hl=en&gl=us"
