('com.tf.thinkdroid.viewer_10.52.1.19.log', 'com.tf.thinkdroid.viewer', 'SDKConnectionRough', 'AdMob', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.tf.thinkdroid.viewer_10.52.1.19.apk')
('com.tf.thinkdroid.viewer_10.52.1.19.log', 'com.tf.thinkdroid.viewer', 'SDKConnectionRough', 'Fyber', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.tf.thinkdroid.viewer_10.52.1.19.apk')
('com.tf.thinkdroid.viewer_10.52.1.19.log', 'com.tf.thinkdroid.viewer', 'SDKConnectionRough', 'Bytedance', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.tf.thinkdroid.viewer_10.52.1.19.apk')
('com.tf.thinkdroid.viewer_10.52.1.19.log', 'com.tf.thinkdroid.viewer', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.tf.thinkdroid.viewer_10.52.1.19.apk')
('com.larenmp4.drift.city.simulator_2.3.log', 'com.larenmp4.drift.city.simulator', 'SDKConnectionRough', 'Ironsource', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.larenmp4.drift.city.simulator_2.3.apk')
('com.larenmp4.drift.city.simulator_2.3.log', 'com.larenmp4.drift.city.simulator', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.larenmp4.drift.city.simulator_2.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'AppLovin', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'InMobi', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'AppNext', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'AdColony', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'Millennial Media', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'Chartboost', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.w_10159224_1.0.3.log', 'com.w_10159224', 'SDKConnectionRough', 'Unity Ads', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10159224_1.0.3.apk')
('com.wBareillyLocalNewsInshorts_10995678_1.0.2.log', 'com.wBareillyLocalNewsInshorts_10995678', 'SDKConnectionRough', 'Facebook Audience Network', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wBareillyLocalNewsInshorts_10995678_1.0.2.apk')
('com.wBareillyLocalNewsInshorts_10995678_1.0.2.log', 'com.wBareillyLocalNewsInshorts_10995678', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wBareillyLocalNewsInshorts_10995678_1.0.2.apk')
('com.wBareillyLocalNewsInshorts_10995678_1.0.2.log', 'com.wBareillyLocalNewsInshorts_10995678', 'SDKConnectionRough', 'Facebook', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wBareillyLocalNewsInshorts_10995678_1.0.2.apk')
('com.wDailyMall_13899540_1.0.log', 'com.wDailyMall_13899540', 'SDKConnectionRough', 'Facebook Audience Network', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wDailyMall_13899540_1.0.apk')
('com.wDailyMall_13899540_1.0.log', 'com.wDailyMall_13899540', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wDailyMall_13899540_1.0.apk')
('com.wDailyMall_13899540_1.0.log', 'com.wDailyMall_13899540', 'SDKConnectionRough', 'Facebook', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wDailyMall_13899540_1.0.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'Facebook Audience Network', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'AppLovin', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'AdMob', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'Ironsource', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'Criteo', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'Facebook', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'AdColony', 'BidMachine', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.wDesignerAuthentication_1.0.2.log', 'com.wDesignerAuthentication', 'SDKConnectionRough', 'BidMachine', 'Appodeal', '/N/project/android_lib_proj/privacy_impl/apks/com.wDesignerAuthentication_1.0.2.apk')
('com.walhadiivflebanon_8609207_1.0.log', 'com.walhadiivflebanon_8609207', 'SDKConnectionRough', 'Facebook Audience Network', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.walhadiivflebanon_8609207_1.0.apk')
('com.walhadiivflebanon_8609207_1.0.log', 'com.walhadiivflebanon_8609207', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.walhadiivflebanon_8609207_1.0.apk')
('com.walhadiivflebanon_8609207_1.0.log', 'com.walhadiivflebanon_8609207', 'SDKConnectionRough', 'Facebook', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.walhadiivflebanon_8609207_1.0.apk')
('com.can.tk_58.0.log', 'com.can.tk', 'SDKConnectionRough', 'AdMob', 'Ironsource', '/N/project/android_lib_proj/privacy_impl/apks/com.can.tk_58.0.apk')
('com.huracan.drift.city.simulator_2.4.log', 'com.huracan.drift.city.simulator', 'SDKConnectionRough', 'Ironsource', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.huracan.drift.city.simulator_2.4.apk')
('com.huracan.drift.city.simulator_2.4.log', 'com.huracan.drift.city.simulator', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.huracan.drift.city.simulator_2.4.apk')
('com.dicegame.fantasticdicepuzzle_16.0.log', 'com.dicegame.fantasticdicepuzzle', 'SDKConnectionRough', 'Unity Ads', 'Chartboost', '/N/project/android_lib_proj/privacy_impl/apks/com.dicegame.fantasticdicepuzzle_16.0.apk')
('com.puzzle.rings_115.log', 'com.puzzle.rings', 'SDKConnectionRough', 'InMobi', 'Chartboost', '/N/project/android_lib_proj/privacy_impl/apks/com.puzzle.rings_115.apk')
('com.puzzle.rings_115.log', 'com.puzzle.rings', 'SDKConnectionRough', 'Bytedance', 'Chartboost', '/N/project/android_lib_proj/privacy_impl/apks/com.puzzle.rings_115.apk')
('com.puzzle.rings_115.log', 'com.puzzle.rings', 'SDKConnectionRough', 'Unity Ads', 'Chartboost', '/N/project/android_lib_proj/privacy_impl/apks/com.puzzle.rings_115.apk')
