SDK,API,class
TappX,setUSPrivacy,TappxPrivacyManager
TappX,grantPersonalInfoConsent,TappxPrivacyManager
TappX,denyPersonalInfoConsent,TappxPrivacyManager
TappX,setGDPRConsent,TappxPrivacyManager
TappX,setCoppaCompliance,Tappx
TappX,setGlobalPrivacyPlatform,TappxPrivacyManager
Vpon,setLocation,VponAdRequest.Builder
Vpon,setGender,VponAdRequest.Builder
Vpon,setBirthday,VponAdRequest.Builder
Vpon,setMaxAdContentRating,VponAdRequest.Builder
Vpon,setTagForUnderAgeOfConsent,VponAdRequest.Builder
Vpon,tagForChildDirectedTreatment,VponAdRequest.Builder
Vpon,setContentUrl,VponAdRequest.Builder
Vpon,setContentData,VponAdRequest.Builder
Amplitude,optOut,",Amplitude.Configuration,Amplitude"
Amplitude,enableCoppaControl,",Amplitude.Configuration,Amplitude"
Amplitude,setUseAdvertisingIdForDeviceId,Amplitude
Amplitude,setUseAppSetIdForDeviceId,Amplitude
Amplitude,setLocationListening,Amplitude
Amplitude,setUserId,",Amplitude"
Amplitude,setDeviceId,",Amplitude"
Amplitude,reset,",Amplitude"
Amplitude,setOptOut,
Amplitude,locationListening,",Amplitude.Configuration,Amplitude"
Amplitude,useAdvertisingIdForDeviceId,"Amplitude.Configuration,Amplitude"
Amplitude,useAppSetIdForDeviceId,"Amplitude.Configuration,Amplitude"
Amplitude,setGroup,Amplitude
Amplitude,track,Amplitude
Amplitude,trackingOptions,Amplitude.Configuration
Supersonic,init,supersonic
Supersonic,supersonic.init,supersonic
YouAppi,init,YouAPPi
YouAppi,setUserConsent,YouAPPi
YouAppi,setgdpr,YouAPPi
YouAppi,setAgeRestrictedUser,YouAPPi
Prebid,setSubjectToGDPR,TargetingParams
Prebid,setGDPRConsentString,TargetingParams
Prebid,setSubjectToCOPPA,TargetingParams
Prebid,setUserLatLng,"TargetingParams,Prebid"
Prebid,setIncludeWinnersFlag,Prebid
Prebid,setIncludeBidderKeysFlag,Prebid
Prebid,setOmidPartnerName,TargetingParams
Prebid,setOmidPartnerVersion,TargetingParams
Prebid,setPurposeConsents,TargetingParams
Prebid,setIABUSPrivacy_String,TargetingParams
Prebid,setShareGeoLocation,Prebid
Prebid,storeExternalUserId,PrebidMobile
AD(X),initialize,ADXSdk
AD(X),getResultGDPR,ADXGdprManager
AD(X),saveResultGDPR,ADXGdprManager
AD(X),getPrivacyURL,"ADXGDPR,ADXGdprManager"
AppNext,setConsent,
AppNext,setParam,
Adbrix(DFINERY),gdprForgetMeEvent,AdBrixRm
Adbrix(DFINERY),setEnableAdIdTracking,AdBrixRm
Adbrix(DFINERY),login,AdBrixRm
Adbrix(DFINERY),logout,AdBrixRm
Adbrix(DFINERY),setAge,AdBrixRm
Adbrix(DFINERY),setGender,AdBrixRm
Adbrix(DFINERY),gdprForgetMe,AdBrixRm
Adbrix(DFINERY),saveUserProperties,AdBrixRm
Quantcast,setCollectionEnabled,QuantcastClient
Quantcast,showQuantcastPrivacyPolicy,QuantcastClient
Quantcast,logEvent,QuantcastClient
Quantcast,activityStart,QuantcastClient
